,BM,OU,EB,JN,NIG,VG,BMJN,BMNIG,BMVG
18835-33-1,0,0,0,2.75E-73,0,2.10E-33,1,0,1.33E-224
1891-45-8,0,0,0,2.01E-24,0.01431748,0.98568252,3.91E-17,4.68E-141,4.07E-156
189165-79-5,0,0,0,1,0,3.46E-64,1.23E-15,0,1.73E-179
18968-24-6,0,3.45845952088873e-323,0,0,0,8.48E-119,1,1.33E-191,0
1898-13-1,0,0,0,7.79E-29,0,3.47E-79,1,0,2.02E-212
19069-48-8,0,0,0,0,1.20E-65,3.68E-28,1,0,4.78E-26
1911-78-0,0,0,0,1,0,3.90E-158,5.67E-27,0,2.33E-297
192823-15-7,0,0,0,1.77E-49,2.66E-194,7.84E-114,1,0,3.98E-254
1937-54-8,0,0,0,0.999999989,6.97E-40,2.82E-33,1.11E-08,1.33E-126,4.66E-300
1940169-14-1,2.01E-230,7.32E-132,8.08E-228,5.49E-186,0,1,1.47E-215,0,8.83E-96
19407-17-1,0,0,0,0.999818808,8.07E-33,5.84E-147,0.000181192,1.67E-306,0
19407-28-4,0,0,0,5.79E-17,8.52E-90,6.64E-20,6.89E-19,7.03E-125,1
19435-97-3,0,0,0,0,0,1,0,0,4.36E-55
1972/8/3,0,0,0,0,0,1.74E-69,1,0,0
198-55-0,2.62E-227,0,9.79E-228,1,7.29E-101,9.19E-78,0,0,1.06E-103
19876-45-0,0,0,0,2.18E-92,0,1,0,0,5.50E-129
19888-00-7,0,0,0,0,2.66E-116,1.89E-64,1,0,2.11E-307
19888-33-6,0,0,0,1.01E-29,1.98E-299,5.05E-73,1,0,1.35E-263
19888-34-7,0,0,0,1,1.33E-128,1.00E-134,1.39E-50,2.37E-212,2.84E-45
198991-79-6,0,0,0,1,0,9.89E-35,1.22E-26,0,1.28E-94
19903-73-2,0,0,0,1,0,1.32E-98,3.27E-64,0,0
19912-62-0,2.24E-233,8.61E-234,1.98E-233,1.68E-242,9.09E-234,1,1.93E-236,1.17E-238,4.78E-224
19912-67-5,0,0,0,1,0,1.51E-74,2.53E-45,0,2.79E-120
19912-83-5,0,0,0,4.28E-36,0,7.42E-161,1,0,5.74E-101
20016-73-3,0,0,0,3.09E-49,1,1.25E-163,2.87E-83,0,1.55E-32
200272-61-3,0,0,0,1,0,7.90E-167,1.72E-121,0,4.19E-195
20085-13-6,0,0,0,9.64E-11,2.92E-153,3.50E-118,1,9.13E-178,1.03E-133
20085-19-2,0,0,0,7.87E-32,1.48E-149,1,1.09E-40,0,4.32E-48
20085-93-2,0,0,0,9.85E-24,0,1,0,0,4.19E-59
20126-76-5,0,0,0,1,0,1.39E-126,7.26E-308,0,1.43E-169
20230-48-2,0,0,0,1,0,1.47E-122,1.05E-23,1.17E-161,4.69E-170
20303-60-0,0,0,0,2.98E-53,1,2.62E-256,2.57E-94,0,0
20307-83-9,0,0,0,1,0,4.99E-121,8.69E-15,0,4.50E-261
20307-84-0,0,0,0,1,0,1.48E-111,1.53E-21,0,6.33E-49
20479-06-5,0,0,0,2.27E-78,1.36E-65,4.63E-88,1.84E-28,8.79E-126,1
20483-36-7,1.49E-81,0.687710223,1.18E-11,0.312289777,2.11E-270,6.93E-104,0,0,1.60E-40
20489-45-6,0,0,0,1,0,1.34E-113,3.72E-46,1.76E-80,0
2091-29-4,0,0,0,1,0,1.78E-100,9.00E-32,0,2.58E-277
2102-58-1,0,0,0,1.16E-42,0,4.27E-51,1,0,1.37E-220
2102-59-2,0,0,0,1.88E-28,1.35E-75,1,0,0,8.84E-117
2102-62-7,0,0,0,1.04E-06,6.38E-238,1.76E-220,0.99999896,0,3.48E-283
2111-75-3,0,0,0,1,0,1.41E-130,2.81E-104,0,0
21195-59-5,0,0,0,1,3.71E-167,5.17E-75,1.40E-48,2.24E-266,3.09E-35
21284-22-0,0,0,0,9.59E-33,2.32E-100,1.77E-31,2.84E-22,1.20E-100,1
213749-82-7,0,0,0,1.63E-13,1,1.34E-69,1.21E-66,0,0
21391-98-0,0,0,0,2.74E-39,0,2.22E-77,1,8.92E-18,1.35E-277
21391-99-1,0,0,0,1,0,2.10E-11,3.65E-10,0,3.67E-131
